seed,generator,n_generated,quality,utility,indistinguishability,similarity,baseline_accuracy,generated_only_accuracy,real_augmented_accuracy,generated_augmented_accuracy,real_augmentation_gain,generated_augmentation_gain,fid_to_oracle,precision,recall,distinguishability_accuracy
7,SMOTE interpolation,1600,0.9934469200524246,0.02040816326530568,0.0,0.0,0.95375,0.9475,0.984375,0.954375,0.030625000000000013,0.0006249999999999867,26.361181552879614,0.981875,0.0,1.0
7,Transferred local differences,1600,0.9921363040629096,0.14285714285714338,0.0,0.005839213853568201,0.95375,0.94625,0.984375,0.958125,0.030625000000000013,0.004375000000000018,28.420932526924872,0.779375,0.0,1.0
8,SMOTE interpolation,1600,0.9842105263157895,0.060000000000002274,0.0,0.0013554785941886738,0.95,0.935,0.98125,0.951875,0.03125,0.001875000000000071,25.956166826397748,0.97375,0.0,1.0
8,Transferred local differences,1600,0.9947368421052631,0.10000000000000142,0.0,0.004608627220241491,0.95,0.945,0.98125,0.953125,0.03125,0.0031250000000000444,27.865909509678467,0.765,0.0,1.0
9,SMOTE interpolation,1600,0.9774236387782205,0.041666666666665846,0.0,0.0002710957188377348,0.94125,0.92,0.98625,0.943125,0.04499999999999993,0.00187499999999996,26.189470904192245,0.989375,0.0,1.0
9,Transferred local differences,1600,0.9754316069057104,0.0,0.0,0.0018976700318641437,0.94125,0.918125,0.98625,0.940625,0.04499999999999993,-0.0006249999999999867,28.310940507560783,0.76375,0.0,1.0
10,SMOTE interpolation,1600,0.9767291531997414,0.06666666666666549,0.0,0.0005421914376754696,0.966875,0.944375,0.985625,0.968125,0.018749999999999933,0.0012499999999999734,26.336085249635186,0.958125,0.0,1.0
10,Transferred local differences,1600,0.9786683904330963,0.0,0.0,0.0035242443448905525,0.966875,0.94625,0.985625,0.961875,0.018749999999999933,-0.0050000000000000044,28.29158352041481,0.76125,0.0,1.0
11,SMOTE interpolation,1600,0.9895968790637191,0.18181818181818218,0.0,0.0005421914376754696,0.96125,0.95125,0.98875,0.96625,0.02749999999999997,0.0050000000000000044,26.546534750914454,0.9625,0.0,1.0
11,Transferred local differences,1600,0.9863459037711313,0.20454545454545445,0.0,0.0035242443448905525,0.96125,0.948125,0.98875,0.966875,0.02749999999999997,0.005624999999999991,28.461711370358966,0.7625,0.0,1.0
